Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241),CHOX(231)
3.00777632329631e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3747524057041139,0.14427889847101832,0.15629005964864187,3.052084001476855e-05,0.0011522304026458437,0.10833344411480204,0.021559355410304144,3.410167033435211e-06,9.067884965923515e-06,0.0005651343763651969,8.038286924345558e-13,0.0006762972582803696,1.8204903765211922e-10,1.8077183428192821e-06,2.671396319480619e-09,9.621270009432721e-11,1.565193202119011e-05,2.9163495960861304e-07,2.188326614222969e-08,0.0007706913325144542,1.1556257663325193e-08,5.75658551618478e-06,1.3156776025210879e-05,1.1941998003556312e-05,8.940046602061821e-08,1.8133302797322745e-07,0.0007409813306286233,0.034072329847447916,0.002528375424167583,5.5156393353539565e-08,4.39481101332295e-08,8.127393757157708e-10,4.6153592363333524e-07,2.8549855123471356e-07,3.7281603752459164e-07
3.0150380419217444e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3746877923226123,0.14416990979570193,0.15626569392490697,3.0574450790452996e-05,0.0011534350236342555,0.10854679155817652,0.021606817325876434,3.41063311059371e-06,9.080283420632386e-06,0.0005648846286912602,8.050944629635117e-13,0.0006766041602448002,1.821642635282379e-10,1.80727191962117e-06,2.6784366960506095e-09,9.647121703349147e-11,1.5614622653858388e-05,2.928475163993478e-07,2.1870185268039946e-08,0.0007709660534555606,1.1567942786469732e-08,5.766607754588825e-06,1.315544674691437e-05,1.1915208690074387e-05,8.953836537439329e-08,1.8122027936220498e-07,0.0007426786416202169,0.03413232692290471,0.002531037576512098,5.5033846763337905e-08,4.398550382670561e-08,8.145862854431787e-10,4.6345488662680044e-07,2.8587057511316294e-07,3.727086047486286e-07
3.022299760547179e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.37462326933320805,0.14406102982939323,0.1562413403931665,3.062803306231615e-05,0.0011546378894086425,0.1087599285388498,0.021654256367931425,3.4110776503309106e-06,9.092664121854361e-06,0.0005646348918921263,8.063516256546167e-13,0.000676910643588491,1.8227853335722024e-10,1.8068196985712126e-06,2.6854779406981045e-09,9.672939902788111e-11,1.5577514516571767e-05,2.9406144614500265e-07,2.1857109535750927e-08,0.0007712402466820372,1.1579623069523348e-08,5.776622366157892e-06,1.3154113068653795e-05,1.188855045945661e-05,8.967628041013518e-08,1.811077220508897e-07,0.000744374935278201,0.034192239271054865,0.0025336954902176754,5.491189789740354e-08,4.4022827372765156e-08,8.164329423828938e-10,4.6537602238989014e-07,2.862416230860799e-07,3.7260125878935096e-07
3.0295614791726136e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3745588365884433,0.1439522584090923,0.15621699903572864,3.068158693371152e-05,0.0011558390078618619,0.10897285536052774,0.021701672566216208,3.4115007929261054e-06,9.105027114019629e-06,0.0005643851660380414,8.076002047321313e-13,0.0006772167092305171,1.823918532483295e-10,1.8063617233176352e-06,2.6925200456682364e-09,9.698724526598808e-11,1.55406059926084e-05,2.9527674348810387e-07,2.184403894314747e-08,0.0007715139137511576,1.1591298517060511e-08,5.786629366235148e-06,1.3152775021750258e-05,1.1862022365633467e-05,8.981421073881335e-08,1.8099535562192505e-07,0.0007460702099265902,0.034252067026260935,0.002536349179399257,5.479054253236213e-08,4.4060081111722813e-08,8.182793453514688e-10,4.6729932244358135e-07,2.866116978964874e-07,3.7249400014027196e-07
3.036823197798048e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.37449449394125645,0.14384359537215627,0.1561926698349374,3.073511250740199e-05,0.001157038386831321,0.10918557232633412,0.021749065950436283,3.4119026778060837e-06,9.117372441281226e-06,0.0005641354511994878,8.088402245377247e-13,0.0006775223580873087,1.8250422927535705e-10,1.8058980371606516e-06,2.699563003243792e-09,9.724475494722032e-11,1.5503895482812224e-05,2.9649340309070626e-07,2.1830973488031453e-08,0.0007717870562113312,1.1602969133777844e-08,5.79662877012772e-06,1.315143263729649e-05,1.183562347165259e-05,8.995215597299259e-08,1.808831796597316e-07,0.0007477644639046881,0.03431181032255742,0.0025389986580880834,5.4669776484907576e-08,4.409726538154483e-08,8.20125493176354e-10,4.6922477833976057e-07,2.869808022782996e-07,3.723868292853093e-07
3.0433587445609394e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.37443666247098323,0.1437458911725533,0.1561707839335946,3.0783261413647605e-05,0.0011581163470785782,0.10937683841885318,0.02179170051472724,3.412246313404947e-06,9.128468168595216e-06,0.0005639107173215571,8.099489443960048e-13,0.0006777970864623867,1.826045656874545e-10,1.8054758723069716e-06,2.705902387691244e-09,9.747622525124163e-11,1.5471024018370915e-05,2.975895570687808e-07,2.1819218969177466e-08,0.0007720324371643185,1.1613468562451312e-08,5.805621751518316e-06,1.3150220808301364e-05,1.1811974165780072e-05,9.007631910826813e-08,1.8078238379924284e-07,0.0007492884184456488,0.03436550718737849,0.002541379600465807,5.456158748229118e-08,4.413067210572854e-08,8.217868071074112e-10,4.70959524934086e-07,2.873121687566787e-07,3.722904509759663e-07
3.0498942913238307e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3743789037542852,0.1436482745139576,0.1561489078520428,3.083138755560949e-05,0.0011591929102842667,0.10956793499333517,0.02183431664525055,3.4125729429557937e-06,9.139549654681218e-06,0.0005636859924753621,8.110507689581771e-13,0.0006780714786460474,1.8270414683908586e-10,1.8050491474986478e-06,2.712242450955045e-09,9.770742173606042e-11,1.5438310522590954e-05,2.9868680630504133e-07,2.180746860834928e-08,0.0007722773955594959,1.1623964085654222e-08,5.814608603481979e-06,1.314900551343618e-05,1.178842808967656e-05,9.02004937230191e-08,1.8068174157872236e-07,0.0007508115437115,0.03441913584604719,0.0025437571537530357,5.4453869474865954e-08,4.416402307489642e-08,8.234479125862575e-10,4.726960048273782e-07,2.876427533735321e-07,3.721941445103716e-07
3.055776283410433e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3743269830256201,0.143560494271392,0.1561292277639907,3.0874681680840474e-05,0.001160160627328291,0.10973977715409679,0.02187265541967763,3.41285245195228e-06,9.149510842047882e-06,0.0005634837478789675,8.120365304430669e-13,0.0006783181447154458,1.8279312772765458e-10,1.8046612219177578e-06,2.71794908369407e-09,9.791526399293079e-11,1.5409002505226293e-05,2.9967526388021156e-07,2.1796896837427375e-08,0.0007724974977537373,1.1633406720390637e-08,5.822691538753612e-06,1.3147908803219264e-05,1.1767324333253308e-05,9.031226045977156e-08,1.8059129469355186e-07,0.0007521816464395427,0.034467343402797924,0.00254589406235156,5.435732351435411e-08,4.419399147631082e-08,8.249427285991365e-10,4.742603136640401e-07,2.879396126682276e-07,3.721075303973987e-07
3.061658275497035e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3742751210637756,0.14347278475586053,0.15610955561029127,3.09179574801847e-05,0.0011611272213637935,0.1099114823432197,0.0219109792959293,3.413118339411662e-06,9.159460542566765e-06,0.0005632815106786391,8.130167344534228e-13,0.0006785645394885383,1.8288150354196004e-10,1.8042696501131505e-06,2.7236562577515957e-09,9.812288359715251e-11,1.5379820710482027e-05,3.006646026962044e-07,2.1786328432118463e-08,0.0007727172593973903,1.1642846197393805e-08,5.830769526238657e-06,1.3146809319961638e-05,1.1746303174060576e-05,9.042403606429075e-08,1.8050097179342297e-07,0.0007535510756329938,0.034515495861769704,0.002548028241226973,5.426115450692803e-08,4.422391508695363e-08,8.264373744822039e-10,4.758260171062465e-07,2.882358416872717e-07,3.7202097499536e-07
3.0675402675836375e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.37422331779153006,0.1433851458817776,0.15608989138164728,3.09612150068728e-05,0.0011620926964263313,0.11008305072040628,0.021949288289692736,3.413370677419767e-06,9.169398779054432e-06,0.0005630792809127521,8.139913941885056e-13,0.0006788106634461393,1.8296927742608076e-10,1.8038744542845542e-06,2.72936396911526e-09,9.833028014889638e-11,1.5350764329093795e-05,3.016548199625224e-07,2.1775763391308638e-08,0.0007729366813012293,1.1652282519438872e-08,5.838842573989871e-06,1.314570707979053e-05,1.172536413529156e-05,9.053582033353302e-08,1.8041077265990419e-07,0.0007549198304379176,0.03456359329342168,0.0025501596976385747,5.4165360321402157e-08,4.425379408094463e-08,8.279318496341764e-10,4.773931107376152e-07,2.88531441860233e-07,3.719344785443006e-07
