Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241)
8.432676003597611e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12224489181005252,0.20099247702313086,0.1670362016649671,1.231209082764976e-10,5.889511837063906e-05,8.867638823863291e-08,1.3428877353315462e-15,3.6455143766749683e-10,1.5569274220495755e-10,6.260837861950555e-17,4.474204228080373e-43,3.8210035788542976e-20,7.587466437747105e-27,9.151093220935982e-08,2.597202428930344e-26,4.101161858736868e-27,3.1893954395477956e-16,4.986887619371749e-18,6.772603379382735e-19,6.399428302967631e-05,1.3877487112550287e-14,2.5642270453844742e-08,0.0002343752221508728,0.0012658982479575392,1.1259009836051882e-09,3.30353033811756e-07,5.541022935344012e-05,3.875830312669178e-06,7.396689566940527e-11,1.9337777702001318e-07,7.659843409429007e-09,1.5350856009439312e-16,1.2214181725738557e-35,3.3667425808147224e-13
8.444668555984688e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.1222426322681721,0.20099206914867598,0.16703527357780548,1.238935868592552e-10,5.9015370958834685e-05,8.9139616415402e-08,1.3494733269526826e-15,3.654501690622508e-10,1.5600410837379113e-10,6.272733985516289e-17,4.5122431803090065e-43,3.832863293899505e-20,7.623997835320521e-27,9.160420430787443e-08,2.608147490554707e-26,4.116469048944263e-27,3.190954976972039e-16,4.989354186175398e-18,6.796582374063021e-19,6.411030435543644e-05,1.3979454042667441e-14,2.5727104744502133e-08,0.00023466428687325466,0.0012676342715654103,1.1246278397770864e-09,3.3043845206883724e-07,5.552764833801617e-05,3.876955925346605e-06,7.444959493606794e-11,1.9308089832902755e-07,7.674885953780965e-09,1.5376066671565866e-16,1.2263615300585058e-35,3.3775162267121887e-13
8.456661108371765e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12224037285380293,0.20099166130207038,0.1670343455301083,1.2466988184348163e-10,5.9135656289920475e-05,8.960452738334592e-08,1.3560803329147516e-15,3.663493637077956e-10,1.5631554826698865e-10,6.284630487580333e-17,4.550537665876377e-43,3.844740148608325e-20,7.660637087457497e-27,9.169735714216978e-08,2.6191190355584353e-26,4.1318053055257376e-27,3.192510688435124e-16,4.9918151803818986e-18,6.820606754816429e-19,6.422633760054137e-05,1.4082029735313783e-14,2.5812077593585262e-08,0.00023495329589832574,0.001269370182590799,1.1233572921775369e-09,3.3052358216592157e-07,5.564509838423733e-05,3.878078586027666e-06,7.493471241014439e-11,1.9278489972723702e-07,7.689932564694594e-09,1.5401271702968267e-16,1.231315584699246e-35,3.38830627887884e-13
8.468653660758841e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12223811356694417,0.20099125348330982,0.16703341752187228,1.2544980433864155e-10,5.9255974267168e-05,9.007112437631088e-08,1.362708786411385e-15,3.6724902015780774e-10,1.566270616114128e-10,6.296527356254003e-17,4.5890889234509065e-43,3.856634130903716e-20,7.697384284396015e-27,9.17903909820387e-08,2.630117073485949e-26,4.147170622448257e-27,3.194062585144692e-16,4.994270619634228e-18,6.844676522568098e-19,6.434238265901065e-05,1.4185216939373814e-14,2.5897188985196747e-08,0.00023524224933263506,0.0012711059811400676,1.1220893339603794e-09,3.3060842537432167e-07,5.576257937465156e-05,3.879198308358538e-06,7.542225629548333e-11,1.924897776619365e-07,7.70498322702562e-09,1.542647111538354e-16,1.2362803354130614e-35,3.399112734252471e-13
8.492638765532996e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.122233595375755,0.2009904379293068,0.16703156162377145,1.2702057637977699e-10,5.949670777547556e-05,9.10093893699187e-08,1.3760301687350195e-15,3.690497127144236e-10,1.572503075674454e-10,6.320322146151554e-17,4.666966726727402e-43,3.880473429878051e-20,7.771202872273302e-27,9.197610275438467e-08,2.652192666015196e-26,4.177988413186747e-27,3.197154978912686e-16,4.999164903510613e-18,6.892952222540114e-19,6.457450779405515e-05,1.439343691794107e-14,2.6067827332509937e-08,0.00023581998985286044,0.001274577241233363,1.119561158669773e-09,3.3077725617936156e-07,5.5997633720923346e-05,3.881428992183155e-06,7.640465617968796e-11,1.9190214901930235e-07,7.735096645749135e-09,1.547685312866827e-16,1.246241920637965e-35,3.4207748424236863e-13
8.513661472709123e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12222963564528501,0.20098972319584116,0.16702993507721206,1.2840938199400758e-10,5.970781478347986e-05,9.183734648057715e-08,1.3877770976064782e-15,3.7062950724798745e-10,1.5779681550165686e-10,6.341179137136093e-17,4.736082446045956e-43,3.901424563879569e-20,7.836260074461095e-27,9.213848843689595e-08,2.671628942272148e-26,4.205095436701493e-27,3.199852989737772e-16,5.003436590206943e-18,6.935414702489728e-19,6.477800102957823e-05,1.4577977747646038e-14,2.6217845733224982e-08,0.00023632619185690287,0.001277619397409396,1.1173536929796572e-09,3.3092430308536493e-07,5.6203757203795125e-05,3.8833746284694475e-06,7.727378051026928e-11,1.9138994789606116e-07,7.761503942598274e-09,1.5520994087976095e-16,1.255008325044691e-35,3.4398153943890216e-13
8.53468417988525e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.1222256763066378,0.20098900854787957,0.1670283086518684,1.2980949767297432e-10,5.9919020717357964e-05,9.267053185291423e-08,1.3995904178644396e-15,3.722106999956862e-10,1.583435452089443e-10,6.36203708338476e-17,4.806005450155308e-43,3.9224281529548176e-20,7.901650290985831e-27,9.230051236930246e-08,2.6911467667578445e-26,4.232291672804469e-27,3.202539439878583e-16,5.007691461693133e-18,6.978016665540108e-19,6.49815290353252e-05,1.4764438210715853e-14,2.636828963538643e-08,0.0002368322245706073,0.00128066120948686,1.1151540874311935e-09,3.31070486705434e-07,5.640997408345448e-05,3.885311431557115e-06,7.81504814254245e-11,1.9088038918279332e-07,7.787923471287863e-09,1.556511794501299e-16,1.2638075812607764e-35,3.4589063081343303e-13
8.555706887061378e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12222171735981123,0.20098829398539936,0.16702668234772336,1.3122098379019974e-10,6.013032507067953e-05,9.350896288829886e-08,1.4114703080009844e-15,3.737932833527782e-10,1.5889049525748146e-10,6.382895922657368e-17,4.876742526727777e-43,3.94348413160629e-20,7.967373999041438e-27,9.246217598330396e-08,2.710746189085784e-26,4.259577089027476e-27,3.2052143882655083e-16,5.011929610795593e-18,7.020758115194688e-19,6.518509125303542e-05,1.4952833384229982e-14,2.6519158953984884e-08,0.00023733808855289938,0.0012837026780234972,1.1129623042875054e-09,3.3121581368560994e-07,5.6616283744642706e-05,3.887239472541696e-06,7.903480354147519e-11,1.903734543271334e-07,7.814355152756961e-09,1.5609224766584765e-16,1.2726396828672686e-35,3.4780475675045423e-13
8.576729594237505e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.1222177588048037,0.20098757950837778,0.16702505616475993,1.3264390087036898e-10,6.0341727341118375e-05,9.435265698254929e-08,1.4234169464182306e-15,3.7537724976698493e-10,1.5943766422651017e-10,6.40375559321932e-17,4.9483004964270246e-43,3.964592434214135e-20,8.033431673302446e-27,9.262348070444702e-08,2.730427258361146e-26,4.286951652920995e-27,3.207877893424218e-16,5.016151129719351e-18,7.063639054541262e-19,6.538868712799725e-05,1.5143178422689805e-14,2.6670453604190685e-08,0.00023784378435848724,0.001286743803572789,1.1107783120313667e-09,3.3136029061504636e-07,5.682268557698121e-05,3.889158821845695e-06,7.992679159543771e-11,1.8986912493379426e-07,7.84079890865023e-09,1.5653314614001433e-16,1.281504623281883e-35,3.497239156441051e-13
8.597752301413633e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12221380064161425,0.20098686511679217,0.16702343010296103,1.3407830958926937e-10,6.055322703041767e-05,9.52016315258456e-08,1.4354305114284524e-15,3.7696259173812496e-10,1.5998505070627556e-10,6.424616033837317e-17,5.020686212926383e-43,3.9857529950377995e-20,8.099823785935601e-27,9.27844279521393e-08,2.750190023183709e-26,4.3144153320549434e-27,3.2105300134791693e-16,5.020356110055847e-18,7.106659486255377e-19,6.559231610901978e-05,1.5335488558189516e-14,2.682217350135412e-08,0.0002383493125378977,0.0012897845866839828,1.1086020737843683e-09,3.3150392402660093e-07,5.702917897493932e-05,3.8910695492261894e-06,8.082649044479232e-11,1.8936738277441447e-07,7.867254661310205e-09,1.5697387549568547e-16,1.290402395760749e-35,3.516481058981312e-13
