Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52)
8.034585552202083e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41284766981808135,0.11865891524121445,0.022821089990521914,1.8328539889168714e-16,2.37569443571715e-11,3.660071701203523e-07,2.2936019890728226e-11,6.518069151407838e-14,7.866041681470087e-12,7.490111825845869e-07,7.405116589359453e-28,8.612314391754653e-07,4.762198822214865e-19,1.0685321341810688e-14,3.207422515290291e-19,1.7401534579699935e-23,3.9530326000878436e-10,2.451634736232737e-14,3.921362782482966e-12,3.7739495241994616e-05,3.214612636254741e-18,9.714343575313638e-12,5.317725281756665e-07,9.538963112268743e-07,2.2555753896594576e-08,1.2622776156351793e-07,4.3930225493349105e-08,9.577246614710986e-06,1.3526444027505348e-08,1.0411888994180605e-09,1.3419790809317065e-13,7.96793978647792e-17,2.808256583371208e-14
8.162265129111702e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41284688217137033,0.11865873964598461,0.022821082400236465,1.9628471338474702e-16,2.503039757618926e-11,3.7341867092883194e-07,2.418711029627366e-11,6.630461339231954e-14,8.118410023081491e-12,7.609181168396511e-07,7.883760852944701e-28,8.774643330815304e-07,4.908711492661827e-19,1.1085055458116226e-14,3.383414939294097e-19,1.8662737120265928e-23,4.100668643665717e-10,2.48565273812121e-14,3.988694069627084e-12,3.834784463895294e-05,3.4422619912394403e-18,1.0069384060258171e-11,5.382741810187686e-07,9.690383468660886e-07,2.255483323036914e-08,1.262319878085049e-07,4.42329555444713e-08,9.734125291563517e-06,1.3974497463806424e-08,1.0616888300417115e-09,1.38882910980028e-13,8.355539861221982e-17,2.8624955648332333e-14
8.289944706021322e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128460947482942,0.11865856405122097,0.022821074809982436,2.099670404886439e-16,2.6349304008934708e-11,3.808992948860391e-07,2.548350441500804e-11,6.743072301674614e-14,8.37474682238889e-12,7.728246905323086e-07,8.38477888784879e-28,8.937761503699371e-07,5.057121237865919e-19,1.14926090870816e-14,3.5662594590079244e-19,1.9992004038056852e-23,4.251182452088944e-10,2.519681985843777e-14,4.056023264929909e-12,3.895596356324047e-05,3.681842460698265e-18,1.0430919773455919e-11,5.447739134033896e-07,9.841798887438365e-07,2.255391590905858e-08,1.2623622868200745e-07,4.4540519018777024e-08,9.891000876054221e-06,1.4429995417362623e-08,1.0822305847289483e-09,1.4365190495325703e-13,8.755367888249871e-17,2.91677748908547e-14
8.417624282930942e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128453075508803,0.11865838845692261,0.02282106721975983,2.243560109577242e-16,2.7714496220574184e-11,3.884501142456467e-07,2.6826022787761463e-11,6.855905385652994e-14,8.635051663329552e-12,7.847309046117233e-07,8.908823819925132e-28,9.10166845125642e-07,5.207416726421075e-19,1.1907998868566232e-14,3.756118980252316e-19,2.1391773401350087e-23,4.404579731376634e-10,2.5537235341804617e-14,4.123350370553481e-12,3.956384998353629e-05,3.933764752687347e-18,1.0798950678303614e-11,5.512717055687756e-07,9.993209350456e-07,2.255300193672639e-08,1.2624048417938676e-07,4.4852912525319706e-08,1.0047873390505406e-05,1.4892945005826636e-08,1.1028137711648112e-09,1.4850506159314312e-13,9.167605046497747e-17,2.9711022866684816e-14
8.545303859840561e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128445205811525,0.11865821286308857,0.022821059629568624,2.3947565812685677e-16,2.9126808169045344e-11,3.9607219976713334e-07,2.8215485921724544e-11,6.968963937754866e-14,8.899324131174648e-12,7.966367600264772e-07,9.456556440928419e-28,9.266363711687101e-07,5.359586833173001e-19,1.2331241305638057e-14,3.953157944499472e-19,2.2864526922385774e-23,4.5608661332674674e-10,2.5877783679513586e-14,4.190675389280126e-12,4.0171501871768684e-05,4.198446465414692e-18,1.1173476707643411e-11,5.577675377584903e-07,1.0144614839449202e-06,2.2552091316595295e-08,1.2624475429149968e-07,4.517013264148466e-08,1.0204742857273046e-05,1.5363353358399463e-08,1.123438013222832e-09,1.5344255128723872e-13,9.59243217194103e-17,3.025469957547571e-14
8.672983436750181e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128437338411316,0.11865803726971791,0.022821052039408825,2.55350417840212e-16,3.058707518854254e-11,4.0376662070183487e-07,2.965271428681481e-11,7.082251304232842e-14,9.167563812520416e-12,8.085422577245446e-07,1.0028645159427242e-27,9.431846820548031e-07,5.5136206372658e-19,1.2762352770405694e-14,4.157542321682102e-19,2.4412789954072286e-23,4.720047257384242e-10,2.6218474092650244e-14,4.257998324391172e-12,4.077891720312441e-05,4.476312082431246e-18,1.155449776742004e-11,5.642613902246516e-07,1.0296015336048093e-06,2.255118405121094e-08,1.262490390055813e-07,4.549217591331342e-08,1.03616092987412e-05,1.584122761562637e-08,1.1441029493520555e-09,1.5846454314435595e-13,1.0030029757813727e-16,3.0798805638530345e-14
8.8006630136598e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.412842947332835,0.11865786167680972,0.02282104444928042,2.720051283817744e-16,3.2096133972486404e-11,4.115344447790761e-07,3.113852831247792e-11,7.195770830999925e-14,9.43977029528069e-12,8.204473986532745e-07,1.0625765953119727e-27,9.598117310756688e-07,5.669507420207144e-19,1.3201349509274243e-14,4.36943960302475e-19,2.6039131486513857e-23,4.882128653184394e-10,2.6559315240144222e-14,4.325319179569179e-12,4.138609395606117e-05,4.767792967854921e-18,1.1942013739903526e-11,5.707532432313547e-07,1.044741082179009e-06,2.2550280142571275e-08,1.2625333830595123e-07,4.5819038855784505e-08,1.0518472737317482e-05,1.6326574929188778e-08,1.1648082311420753e-09,1.6357120491604597e-13,1.0480577954671237e-16,3.134334223374025e-14
8.92834259056942e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41284216105827665,0.11865768608436303,0.022821036859183394,2.8946503040743227e-16,3.3654822556023815e-11,4.193767381923741e-07,3.2673748384875637e-11,7.309525863626169e-14,9.71594316868049e-12,8.323521837593715e-07,1.1248602322537225e-27,9.765174712596307e-07,5.827236663951845e-19,1.3648247647684443e-14,4.5890187938960945e-19,2.774616414338024e-23,5.047115821718623e-10,2.690031527693739e-14,4.39263795881973e-12,4.199303011232324e-05,5.073327361624865e-18,1.2336024486525661e-11,5.772430770574143e-07,1.0598801278131057e-06,2.2549379592230062e-08,1.2625765217457285e-07,4.6150717953050496e-08,1.0675333195429444e-05,1.6819402461692363e-08,1.1855535220477519e-09,1.6876270292573013e-13,1.094425657030305e-16,3.1888311037324826e-14
9.05602216747904e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41284137501946755,0.1186575104923769,0.02282102926911774,3.0775576687849117e-16,3.5263980298105165e-11,4.2729456558571206e-07,3.425919484441341e-11,7.423519747336228e-14,9.996082023250625e-12,8.442566139888832e-07,1.1897845246120054e-27,9.933018553720816e-07,5.986798049003665e-19,1.4103063194392914e-14,4.816450406680656e-19,2.953654417813748e-23,5.215014217219211e-10,2.724148190607593e-14,4.459954666408697e-12,4.259972365695938e-05,5.393360374783243e-18,1.2736529850377113e-11,5.837308719985812e-07,1.0750186686455238e-06,2.25484824013793e-08,1.2626198059149457e-07,4.6487209658635894e-08,1.0832190695521645e-05,1.7319717386451587e-08,1.206338496255728e-09,1.740392020050819e-13,1.1421245069509662e-16,3.243371417165424e-14
9.183701744388659e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41284058921841504,0.11865733490085038,0.02282102167908345,3.2690338299646377e-16,3.692444786318641e-11,4.352889900398743e-07,3.5895687983564625e-11,7.537755827007506e-14,1.028018645082299e-11,8.561606902871888e-07,1.2574193136647458e-27,1.0101648359159811e-06,6.148181452535192e-19,1.4565812045347582e-14,5.051906453668374e-19,3.141297147015734e-23,5.385829248538092e-10,2.7582822425395967e-14,4.527269306811445e-12,4.3206172578342404e-05,5.728343984781876e-18,1.3143529658408544e-11,5.902166083693577e-07,1.0901567028084076e-06,2.2547588570913913e-08,1.2626632353520344e-07,4.6828510395613387e-08,1.0989045260053244e-05,1.7827526887270927e-08,1.2271628376760855e-09,1.7940086543690882e-13,1.191172257376121e-16,3.297955415848442e-14
