Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33)
1.806361221151881e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386547406183587,0.20128594082339815,0.16769731665831858,6.953598363052585e-30,3.914541401709918e-17,1.0637542977532612e-15,3.0139915389237957e-32,6.873417384044534e-19,1.9000702341098343e-17,1.1103338610380034e-22,6.04397081215247e-72,8.48435665768471e-28,6.723613364775417e-47,1.0837834357686655e-18,7.647313263576718e-43,2.218700382998113e-40,2.294461635914519e-24,4.02668262619378e-24,1.7267489898317883e-27,6.994596284190389e-10,1.6417757975479234e-35,6.376433158084808e-22,6.465237629240795e-07,2.8819651489865104e-06,9.241780555657332e-11,4.982535839084088e-10,7.795059113119173e-12,6.272735413095736e-14,2.9673957589238158e-21,7.263316390635875e-12,8.527020484160463e-17,7.961323552866075e-24
1.875764559067566e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386533841819225,0.20128591596160256,0.1676972612951688,9.932197825366247e-30,5.0389138670039695e-17,1.2191741326966e-15,4.1452271353859917e-32,8.138172605595029e-19,2.2610535276347122e-17,1.230902097732337e-22,1.0567280938891463e-71,9.487398821459672e-28,1.0213725342099443e-46,1.4300192278583464e-18,9.762080715547702e-43,3.012993403064282e-40,2.835092102860138e-24,5.0901047990859265e-24,1.9868509586655783e-27,7.550081038727931e-10,2.3608078509541552e-35,8.452691203539806e-22,6.713410018927673e-07,2.9926900718466694e-06,1.0184138847645101e-10,5.319211784381573e-10,9.246047152201772e-12,7.717701952533304e-14,3.569947747278675e-21,8.639999999815728e-12,1.0438581065392983e-16,9.738656763962466e-24
1.945167896983251e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386520277262607,0.20128589109993242,0.16769720593215853,1.4007633766364554e-29,6.42884491941913e-17,1.390094184018737e-15,5.636860922637466e-32,9.575948484890385e-19,2.6729932987864628e-17,1.3594540047167692e-22,1.8110843079176784e-71,1.0568661986201422e-27,1.5281449097707223e-46,1.8676434003031836e-18,1.2355456241423308e-42,4.044683013458727e-40,3.476014394833478e-24,6.3761450760861246e-24,2.274640679692183e-27,8.128836320599312e-10,3.3533849176232555e-35,1.1092656977326036e-21,6.961565210272392e-07,3.1034145215511756e-06,1.1178298028982764e-10,5.664620718902112e-10,1.0897494978743149e-11,9.424692264519267e-14,4.26698196596387e-21,1.0210766021452537e-11,1.268102158746416e-16,1.1820394346355092e-23
2.014571234898936e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386506712511842,0.20128586623838773,0.1676971505692878,1.9522923186342043e-29,8.134480923021375e-17,1.5773435761541369e-15,7.584750162410121e-32,1.1202640898119799e-18,3.140672808637814e-17,1.4961917533269944e-22,3.0464896295610653e-71,1.1731367204534128e-27,2.254223366153328e-46,2.4160043360551717e-18,1.551501730017062e-42,5.3715657553982994e-40,4.2310693067044224e-24,7.919585912436802e-24,2.5919158004689065e-27,8.731052004472899e-10,4.7094150210760855e-35,1.44209109980913e-21,7.209703204494257e-07,3.214138479888059e-06,1.2224215064645217e-10,6.0185788394199e-10,1.2767745022359699e-11,1.1429022530524158e-13,5.069194935398083e-21,1.1993822519447871e-11,1.52954276131235e-16,1.424343725072487e-23
2.083974572814621e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386493147565056,0.20128584137696842,0.1676970952065566,2.691004156311344e-29,1.0213182217982591e-16,1.7817498855444945e-15,1.0105430915735608e-31,1.3034903975144813e-18,3.6690889282248734e-17,1.6413132645631995e-22,5.035316307406411e-71,1.297876124396275e-27,3.281494203238351e-46,3.0975670099920365e-18,1.9341437102171182e-42,7.062414966176053e-40,5.1153579366317446e-24,9.758728493050003e-24,2.9405183102294007e-27,9.356914430531308e-10,6.54404070352782e-35,1.8583510127176307e-21,7.457824002814982e-07,3.324861927832244e-06,1.3321727325919177e-10,6.38090617742823e-10,1.487592069193452e-11,1.3769138686257594e-13,5.9880358249032715e-21,1.4008190533120762e-11,1.8325961430942048e-16,1.7047263715694087e-23
2.153377910730306e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386479582420423,0.20128581651567456,0.16769703984396497,3.670815829915912e-29,1.2730268965579842e-16,2.0041370554763982e-15,1.3339538579905976e-31,1.5090148552077981e-18,4.263446645263982e-17,1.7950123139289877e-22,8.183029991994793e-71,1.4314115996733215e-27,4.717583705207096e-46,3.9382679049454706e-18,2.3950254531255804e-42,9.198498850812262e-40,6.1452996308593844e-24,1.1935543224987266e-23,3.32233342488338e-27,1.000660650046529e-09,9.003488145295276e-35,2.375071600763925e-21,7.705927606458756e-07,3.4355848455664225e-06,1.4470555749543197e-10,6.751426504520056e-10,1.7241902870528133e-11,1.6486753625926192e-13,7.035725964198796e-21,1.6273683157715602e-11,2.181993842540431e-16,2.0273963566221698e-23
2.222781248645991e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386466017076152,0.20128579165450614,0.16769698448151285,4.9587584237922904e-29,1.5759885537559637e-16,2.245323531093872e-15,1.74560635031778e-31,1.738653569467811e-18,4.9291519586747116e-17,1.957478577058097e-22,1.3093607622303158e-70,1.5740728290950911e-27,6.703361178957252e-46,4.967918066891886e-18,2.9474176828515554e-42,1.1875370514729256e-39,7.338699261931728e-24,1.4495824681345188e-23,3.739289139973929e-27,1.0680307723499777e-09,1.227307337496199e-34,3.0120234012596195e-21,7.954014016652343e-07,3.54630721250812e-06,1.5670308063131443e-10,7.129967291177859e-10,1.9886300186278568e-11,1.9627006120276607e-13,8.225278933874917e-21,1.8810878486660337e-11,2.582792166037945e-16,2.396828524227718e-23
2.292184586561676e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386452451530477,0.20128576679346313,0.1676969291192003,6.637474719965989e-29,1.9385825472156144e-16,2.5061205867631634e-15,2.265672236571589e-31,1.9942973248262938e-18,5.671804986267877e-17,2.128897701403751e-22,2.0647419848360797e-70,1.726191952193112e-27,9.421069248280603e-46,6.220590877477715e-18,3.606543015730968e-42,1.5204643810541183e-39,8.714798121222768e-24,1.7489290655892326e-23,4.19335548846328e-27,1.137819428308463e-09,1.6585783444851553e-34,3.792037567780101e-21,8.202083234625129e-07,3.6570290073359546e-06,1.6920482153566046e-10,7.516359642062585e-10,2.2830420605512358e-11,2.323857982779906e-13,9.570515075422584e-21,2.1641093366128877e-11,3.040376779641164e-16,2.81776382424582e-23
2.361587924477361e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238643888578167,0.20128574193254548,0.16769687375702727,8.8080624915634e-29,2.370232702652158e-16,2.7873307867358937e-15,2.9180738674046097e-31,2.2779116799414187e-18,6.497193130874228e-17,2.3094514348645066e-22,3.211648539173536e-70,1.88810348919031e-27,1.3104387681759603e-45,7.735003587985974e-18,4.3898393461700664e-42,1.9315817978073906e-39,1.0294301217209296e-23,2.0969597609027992e-23,4.6865431524399804e-27,1.2100439149994409e-09,2.2232661633792454e-34,4.741322147772022e-21,8.450135261609142e-07,3.7677502080156493e-06,1.822046991945324e-10,7.910438179956978e-10,2.609624390014425e-11,2.737376475685173e-13,1.1086067844962382e-20,2.478635737296741e-11,3.560460649316418e-16,3.295203347096578e-23
2.430991262393046e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386425319828026,0.2012857170717533,0.16769681839499384,1.1593409865220358e-28,2.881500960700452e-16,3.089746187001581e-15,3.73102730037689e-31,2.5915364695425584e-18,7.411282922378516e-17,2.4993177143075765e-22,4.931370571068908e-70,2.0601442923935206e-27,1.8050466349531852e-45,9.554958857190734e-18,5.3172788650744076e-42,2.4358356705688928e-39,1.2099428237579573e-23,2.499441772586388e-23,5.2209025263645006e-27,1.284721216339863e-09,2.957524528096475e-34,5.889830768865913e-21,8.698170098839098e-07,3.87847079183108e-06,1.9569561280621294e-10,8.312040965872224e-10,2.9706388354612673e-11,3.208857571691919e-13,1.2787396700091351e-20,2.826938175023624e-11,4.1490888457721254e-16,3.8344083256953723e-23
